answer,confidence,evidence,abstained,latency_s,input_tokens,output_tokens,cost_usd,tool_calls,tool_names,tool_results,permission_denials,num_turns,files_opened,k,model,retrieved,error,run_id,seed,qid,channel,difficulty,locale,arm,mode,repeat,correct,judged_by,judge_reason,answered,answered_decoy,has_decoy,textual_refusal
算出不可（抜粋データが不完全）,0.1,"[""quotes/QT-3200_quotation.xlsx:サマリ!B2 (=SUM('明細'!D5:D249))"", 'quotes/QT-3200_quotation.xlsx:明細 (1)!A5:D21', 'quotes/QT-3200_quotation.xlsx:明細 (2)!A19:D35', 'quotes/QT-3200_quotation.xlsx:明細 (18)!A236:D249']",False,48.853391500000726,4170,4157,0.058246,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-3200_quotation.xlsx::シート サマリ', 'quotes/QT-3200_quotation.xlsx::シート 明細 (1)', 'quotes/QT-3200_quotation.xlsx::シート 明細 (18)', 'quotes/QT-3200_quotation.xlsx::シート 明細 (2)']",,p0-seed42-ja,42,formula-11,formula,2,ja,classical,forced,0,False,exact,数値未回答で不正解,True,False,False,True
41781300円,0.75,['quotes/QT-2178_quotation.xlsx:シート サマリ B5'],False,71.9599939999971,2385,5185,0.061386,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-2178_quotation.xlsx::シート サマリ', 'quotes/QT-2178_quotation.xlsx::シート 明細', 'quotes/QT-2159_quotation.xlsx::シート サマリ', 'quotes/QT-1572_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-12,formula,3,ja,classical,forced,0,False,exact,数値が正解と不一致,True,False,True,False
木村 隆,0.98,['projects/PRJ-1269_overview.docx:4. 体制および連絡先'],False,12.235498299996834,1713,67,0.007518,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-1269_overview.docx::4. 体制および連絡先', 'projects/PRJ-1269_overview.docx::案件概要書（案件コード: PRJ-1269）', 'projects/PRJ-1269_overview.docx::1. 案件概要', 'projects/PRJ-9752_overview.docx::4. 体制および連絡先']",,p0-seed42-ja,42,text-01,text,1,ja,classical,forced,0,True,exact,,True,False,False,False
大阪支社構内,0.9,['projects/PRJ-1455_overview.docx:2. 作業範囲'],False,12.2159707000028,1727,67,0.007574,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-1455_overview.docx::案件概要書（案件コード: PRJ-1455）', 'projects/PRJ-1455_overview.docx::2. 作業範囲', 'projects/PRJ-1455_overview.docx::1. 案件概要', 'projects/PRJ-2012_overview.docx::2. 作業範囲']",,p0-seed42-ja,42,text-02,text,1,ja,classical,forced,0,True,judge,大阪支社に構内を付記しただけで同義,True,False,False,False
情報システム部,0.95,['projects/PRJ-2978_overview.docx:4. 体制および連絡先'],False,12.025001000001794,1654,67,0.007282,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-2978_overview.docx::案件概要書（案件コード: PRJ-2978）', 'projects/PRJ-2978_overview.docx::4. 体制および連絡先', 'projects/PRJ-9752_overview.docx::4. 体制および連絡先', 'projects/PRJ-5239_overview.docx::4. 体制および連絡先']",,p0-seed42-ja,42,text-03,text,1,ja,classical,forced,0,True,exact,,True,False,False,False
加藤 玲奈,0.98,['projects/PRJ-1418_overview.docx:4. 体制および連絡先'],False,12.252277200001117,1707,70,0.0075239999999999994,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-1418_overview.docx::4. 体制および連絡先', 'projects/PRJ-5707_overview.docx::4. 体制および連絡先', 'projects/PRJ-5021_overview.docx::4. 体制および連絡先', 'projects/PRJ-7422_overview.docx::4. 体制および連絡先']",,p0-seed42-ja,42,text-04,text,2,ja,classical,forced,0,True,exact,,True,False,False,False
2027-10-22,0.95,['projects/PRJ-2515_overview.docx:3. 実施スケジュール'],False,11.882385099997919,1696,68,0.00746,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-2515_overview.docx::3. 実施スケジュール', 'projects/PRJ-2515_overview.docx::案件概要書（案件コード: PRJ-2515）', 'projects/PRJ-2978_overview.docx::3. 実施スケジュール', 'projects/PRJ-1418_overview.docx::3. 実施スケジュール']",,p0-seed42-ja,42,text-05,text,2,ja,classical,forced,0,True,exact,,True,False,False,False
経営企画部,0.95,['projects/PRJ-1130_overview.docx:5. 特記事項'],False,12.228378599997086,1672,64,0.007324,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-1130_overview.docx::5. 特記事項', 'projects/PRJ-1130_overview.docx::4. 体制および連絡先', 'projects/PRJ-1130_overview.docx::案件概要書（案件コード: PRJ-1130）', 'projects/PRJ-5021_overview.docx::5. 特記事項']",,p0-seed42-ja,42,text-06,text,3,ja,classical,forced,0,True,exact,,True,False,False,False
中村さくら,0.95,['projects/PRJ-2012_overview.docx:4. 体制および連絡先'],False,12.094360499999311,1717,67,0.007534,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-2012_overview.docx::4. 体制および連絡先', 'projects/PRJ-2012_overview.docx::1. 案件概要', 'projects/PRJ-2012_overview.docx::案件概要書（案件コード: PRJ-2012）', 'projects/PRJ-9752_overview.docx::4. 体制および連絡先']",,p0-seed42-ja,42,text-07,text,1,ja,classical,forced,0,True,exact,,True,False,False,False
神戸事業所,0.95,['projects/PRJ-2281_overview.docx:2. 作業範囲'],False,12.216848399999435,1729,66,0.007572,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-2281_overview.docx::案件概要書（案件コード: PRJ-2281）', 'projects/PRJ-2281_overview.docx::1. 案件概要', 'projects/PRJ-2012_overview.docx::2. 作業範囲', 'projects/PRJ-2281_overview.docx::2. 作業範囲']",,p0-seed42-ja,42,text-08,text,1,ja,classical,forced,0,True,exact,,True,False,False,False
設備保全部,1.0,['projects/PRJ-2098_overview.docx:4. 体制および連絡先'],False,12.218732599998475,1651,67,0.00727,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-2098_overview.docx::案件概要書（案件コード: PRJ-2098）', 'projects/PRJ-2098_overview.docx::4. 体制および連絡先', 'projects/PRJ-9752_overview.docx::4. 体制および連絡先', 'projects/PRJ-7422_overview.docx::4. 体制および連絡先']",,p0-seed42-ja,42,text-09,text,1,ja,classical,forced,0,True,exact,,True,False,False,False
木村 隆,1.0,['projects/PRJ-3304_overview.docx:4. 体制および連絡先'],False,12.105135799996788,1704,67,0.007482,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-3304_overview.docx::4. 体制および連絡先', 'projects/PRJ-5707_overview.docx::4. 体制および連絡先', 'projects/PRJ-5021_overview.docx::4. 体制および連絡先', 'projects/PRJ-7422_overview.docx::4. 体制および連絡先']",,p0-seed42-ja,42,text-10,text,2,ja,classical,forced,0,True,exact,,True,False,False,False
2027-08-02,1.0,['projects/PRJ-3168_overview.docx:3. 実施スケジュール'],False,12.050383499998134,1738,68,0.007627999999999999,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-3168_overview.docx::3. 実施スケジュール', 'projects/PRJ-5289_overview.docx::3. 実施スケジュール', 'projects/PRJ-6148_overview.docx::3. 実施スケジュール', 'projects/PRJ-1630_overview.docx::3. 実施スケジュール']",,p0-seed42-ja,42,text-11,text,2,ja,classical,forced,0,True,exact,,True,False,False,False
情報システム部,0.95,['projects/PRJ-1630_overview.docx:5. 特記事項'],False,12.44611750000331,1675,64,0.007336,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-1630_overview.docx::4. 体制および連絡先', 'projects/PRJ-1630_overview.docx::5. 特記事項', 'projects/PRJ-5021_overview.docx::5. 特記事項', 'projects/PRJ-1630_overview.docx::案件概要書（案件コード: PRJ-1630）']",,p0-seed42-ja,42,text-12,text,3,ja,classical,forced,0,True,exact,,True,False,False,False
78605000,0.95,"['quotes/QT-1641_quotation.xlsx:サマリ!B2', 'quotes/QT-1641_quotation.xlsx:明細!D5:D16']",False,12.271914800003287,2536,470,0.0052108,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-1641_quotation.xlsx::シート サマリ', 'quotes/QT-1641_quotation.xlsx::シート 明細', 'quotes/QT-1572_quotation.xlsx::シート サマリ', 'quotes/QT-3936_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-01,formula,1,ja,classical,forced,1,True,exact,,True,False,False,False
算出不可（明細は5〜299行の295行分あるが、抜粋には30行分のデータしかなく、サマリのB2は数式=SUM('明細'!D5:D299)のみで計算済みの数値が示されていないため、正確な合計は特定できない）,0.05,"['quotes/QT-2757_quotation.xlsx:サマリ B2', 'quotes/QT-2757_quotation.xlsx:明細(1) A5:D20', 'quotes/QT-2757_quotation.xlsx:明細(20) A261:D275']",False,40.888344300001336,3469,3237,0.03306739999999999,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-2757_quotation.xlsx::シート サマリ', 'quotes/QT-2757_quotation.xlsx::シート 明細 (1)', 'quotes/QT-2757_quotation.xlsx::シート 明細 (20)', 'quotes/QT-4752_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-02,formula,2,ja,classical,forced,1,False,exact,数値未回答で不正解,True,False,False,True
28671500,0.95,['quotes/QT-4352_quotation.xlsx:サマリ!B5'],False,12.133489300002111,2428,88,0.0013692,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-4352_quotation.xlsx::シート サマリ', 'quotes/QT-4352_quotation.xlsx::シート 明細', 'quotes/QT-5453_quotation.xlsx::シート サマリ', 'quotes/QT-5543_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-03,formula,3,ja,classical,forced,1,False,exact,,True,True,True,False
39302000,0.95,"[""quotes/QT-2159_quotation.xlsx:サマリ!B2 (=SUM('明細'!D5:D15))"", 'quotes/QT-2159_quotation.xlsx:明細!D5:D15']",False,12.201328800001647,2531,399,0.004499799999999999,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-2159_quotation.xlsx::シート サマリ', 'quotes/QT-2159_quotation.xlsx::シート 明細', 'quotes/QT-1572_quotation.xlsx::シート サマリ', 'quotes/QT-2178_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-04,formula,1,ja,classical,forced,1,True,exact,,True,False,False,False
不明（抜粋に明細合計の計算値が示されておらず、明細行5〜269のうち一部行しか抜粋されていないため算出不可）,0.1,"[""quotes/QT-1572_quotation.xlsx:サマリ!B2 (=SUM('明細'!D5:D269))"", 'quotes/QT-1572_quotation.xlsx:明細 (1)!A5:E20', 'quotes/QT-1572_quotation.xlsx:明細 (16)!A211:E225']",False,21.622467100001813,3470,1166,0.012357600000000002,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-1572_quotation.xlsx::シート サマリ', 'quotes/QT-1572_quotation.xlsx::シート 明細 (1)', 'quotes/QT-1572_quotation.xlsx::シート 明細 (16)', 'quotes/QT-4752_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-05,formula,2,ja,classical,forced,1,False,exact,数値未回答で不正解,True,False,False,True
79110900,0.55,"['quotes/QT-4752_quotation.xlsx:明細!A2(改訂第3版・数量見直し済み)', 'quotes/QT-4752_quotation.xlsx:明細!B5:D15(数量×単価)', 'quotes/QT-4752_quotation.xlsx:サマリ!B4/B2(税率10%を逆算)', 'quotes/QT-4752_quotation.xlsx:サマリ!B5(=B2+B4、ただし旧数量のキャッシュ値75322500で未更新)']",False,36.64923409999756,2514,3114,0.0316464,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-4752_quotation.xlsx::シート サマリ', 'quotes/QT-4752_quotation.xlsx::シート 明細', 'quotes/QT-5453_quotation.xlsx::シート サマリ', 'quotes/QT-1572_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-06,formula,3,ja,classical,forced,1,True,exact,,True,False,True,False
48407000,0.95,"['quotes/QT-3936_quotation.xlsx:サマリ!B2', 'quotes/QT-3936_quotation.xlsx:明細!D5:D14']",False,13.340276999995694,2445,415,0.004642599999999999,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-3936_quotation.xlsx::シート サマリ', 'quotes/QT-3936_quotation.xlsx::シート 明細', 'quotes/QT-3956_quotation.xlsx::シート サマリ', 'quotes/QT-1572_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-07,formula,1,ja,classical,forced,1,True,exact,,True,False,False,False
110930000,0.1,"[""quotes/QT-4436_quotation.xlsx:サマリ!B2 (=SUM('明細'!D5:D296))"", 'quotes/QT-4436_quotation.xlsx:明細!D5:D20']",False,32.76593129999674,2807,2291,0.023475,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-4436_quotation.xlsx::シート サマリ', 'quotes/QT-4436_quotation.xlsx::シート 明細 (1)', 'quotes/QT-7543_quotation.xlsx::シート サマリ', 'quotes/QT-5453_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-08,formula,2,ja,classical,forced,1,False,exact,数値が正解と不一致,True,False,False,False
32595200円,0.6,['quotes/QT-3345_quotation.xlsx:サマリ!B5'],False,47.40071219999663,2385,3493,0.0354106,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-3345_quotation.xlsx::シート サマリ', 'quotes/QT-3345_quotation.xlsx::シート 明細', 'quotes/QT-5453_quotation.xlsx::シート サマリ', 'quotes/QT-3936_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-09,formula,3,ja,classical,forced,1,False,exact,数値が正解と不一致,True,False,True,False
118148000,0.95,"['quotes/QT-3956_quotation.xlsx:シート サマリ B2', 'quotes/QT-3956_quotation.xlsx:シート 明細 D5:D16']",False,13.500623800005997,2539,508,0.005591399999999999,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-3956_quotation.xlsx::シート サマリ', 'quotes/QT-3956_quotation.xlsx::シート 明細', 'quotes/QT-3936_quotation.xlsx::シート サマリ', 'quotes/QT-1572_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-10,formula,1,ja,classical,forced,1,True,exact,,True,False,False,False
"約1,518,000,000円（抜粋に含まれる明細行の平均単価×数量から全245行分を推計した概算値。実際のSUM結果は抜粋に含まれていない）",0.1,"[""quotes/QT-3200_quotation.xlsx:サマリ!B2 (=SUM('明細'!D5:D249))"", 'quotes/QT-3200_quotation.xlsx:明細(1)!D5:D21', 'quotes/QT-3200_quotation.xlsx:明細(2)!D19:D35', 'quotes/QT-3200_quotation.xlsx:明細(18)!D236:D249']",False,43.95902510000451,4170,2857,0.029407600000000002,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-3200_quotation.xlsx::シート サマリ', 'quotes/QT-3200_quotation.xlsx::シート 明細 (1)', 'quotes/QT-3200_quotation.xlsx::シート 明細 (18)', 'quotes/QT-3200_quotation.xlsx::シート 明細 (2)']",,p0-seed42-ja,42,formula-11,formula,2,ja,classical,forced,1,False,exact,推計値で正解と数値不一致,True,False,False,False
43700800,0.55,"['quotes/QT-2178_quotation.xlsx:明細!A2(改訂: 第2版)', 'quotes/QT-2178_quotation.xlsx:明細!B5:D12(数量×単価)', 'quotes/QT-2178_quotation.xlsx:サマリ!B2,B4(税率10%の逆算根拠)']",False,59.838734199998726,2385,5013,0.0506106,0,[],0,0,1,[],4,claude-sonnet-5,"['quotes/QT-2178_quotation.xlsx::シート サマリ', 'quotes/QT-2178_quotation.xlsx::シート 明細', 'quotes/QT-2159_quotation.xlsx::シート サマリ', 'quotes/QT-1572_quotation.xlsx::シート サマリ']",,p0-seed42-ja,42,formula-12,formula,3,ja,classical,forced,1,True,exact,,True,False,True,False
木村 隆,0.98,['projects/PRJ-1269_overview.docx:4. 体制および連絡先'],False,13.465973200000008,1713,67,0.0010162,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-1269_overview.docx::4. 体制および連絡先', 'projects/PRJ-1269_overview.docx::案件概要書（案件コード: PRJ-1269）', 'projects/PRJ-1269_overview.docx::1. 案件概要', 'projects/PRJ-9752_overview.docx::4. 体制および連絡先']",,p0-seed42-ja,42,text-01,text,1,ja,classical,forced,1,True,exact,,True,False,False,False
大阪支社,0.95,['projects/PRJ-1455_overview.docx:2. 作業範囲'],False,13.486537999997381,1727,65,0.0009989999999999999,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-1455_overview.docx::案件概要書（案件コード: PRJ-1455）', 'projects/PRJ-1455_overview.docx::2. 作業範囲', 'projects/PRJ-1455_overview.docx::1. 案件概要', 'projects/PRJ-2012_overview.docx::2. 作業範囲']",,p0-seed42-ja,42,text-02,text,1,ja,classical,forced,1,True,exact,,True,False,False,False
情報システム部,0.95,['projects/PRJ-2978_overview.docx:4. 体制および連絡先'],False,13.500904100001208,1654,67,0.0010044,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-2978_overview.docx::案件概要書（案件コード: PRJ-2978）', 'projects/PRJ-2978_overview.docx::4. 体制および連絡先', 'projects/PRJ-9752_overview.docx::4. 体制および連絡先', 'projects/PRJ-5239_overview.docx::4. 体制および連絡先']",,p0-seed42-ja,42,text-03,text,1,ja,classical,forced,1,True,exact,,True,False,False,False
加藤 玲奈,0.98,['projects/PRJ-1418_overview.docx:4. 体制および連絡先'],False,13.461778699995193,1707,70,0.001045,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-1418_overview.docx::4. 体制および連絡先', 'projects/PRJ-5707_overview.docx::4. 体制および連絡先', 'projects/PRJ-5021_overview.docx::4. 体制および連絡先', 'projects/PRJ-7422_overview.docx::4. 体制および連絡先']",,p0-seed42-ja,42,text-04,text,2,ja,classical,forced,1,True,exact,,True,False,False,False
2027-10-22,0.95,['projects/PRJ-2515_overview.docx:3. 実施スケジュール'],False,13.67030479999812,1696,68,0.0010228,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-2515_overview.docx::3. 実施スケジュール', 'projects/PRJ-2515_overview.docx::案件概要書（案件コード: PRJ-2515）', 'projects/PRJ-2978_overview.docx::3. 実施スケジュール', 'projects/PRJ-1418_overview.docx::3. 実施スケジュール']",,p0-seed42-ja,42,text-05,text,2,ja,classical,forced,1,True,exact,,True,False,False,False
経営企画部,0.95,['projects/PRJ-1130_overview.docx:5. 特記事項'],False,13.68043129999569,1672,64,0.000978,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-1130_overview.docx::5. 特記事項', 'projects/PRJ-1130_overview.docx::4. 体制および連絡先', 'projects/PRJ-1130_overview.docx::案件概要書（案件コード: PRJ-1130）', 'projects/PRJ-5021_overview.docx::5. 特記事項']",,p0-seed42-ja,42,text-06,text,3,ja,classical,forced,1,True,exact,,True,False,False,False
中村さくら,0.95,['projects/PRJ-2012_overview.docx:4. 体制および連絡先'],False,13.463341000002401,1717,67,0.0010170000000000001,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-2012_overview.docx::4. 体制および連絡先', 'projects/PRJ-2012_overview.docx::1. 案件概要', 'projects/PRJ-2012_overview.docx::案件概要書（案件コード: PRJ-2012）', 'projects/PRJ-9752_overview.docx::4. 体制および連絡先']",,p0-seed42-ja,42,text-07,text,1,ja,classical,forced,1,True,exact,,True,False,False,False
神戸事業所,0.95,['projects/PRJ-2281_overview.docx:2. 作業範囲'],False,13.376274599999306,1729,66,0.0010094000000000001,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-2281_overview.docx::案件概要書（案件コード: PRJ-2281）', 'projects/PRJ-2281_overview.docx::1. 案件概要', 'projects/PRJ-2012_overview.docx::2. 作業範囲', 'projects/PRJ-2281_overview.docx::2. 作業範囲']",,p0-seed42-ja,42,text-08,text,1,ja,classical,forced,1,True,exact,,True,False,False,False
設備保全部,0.95,['projects/PRJ-2098_overview.docx:4. 体制および連絡先'],False,13.258448699998553,1651,67,0.0010038,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-2098_overview.docx::案件概要書（案件コード: PRJ-2098）', 'projects/PRJ-2098_overview.docx::4. 体制および連絡先', 'projects/PRJ-9752_overview.docx::4. 体制および連絡先', 'projects/PRJ-7422_overview.docx::4. 体制および連絡先']",,p0-seed42-ja,42,text-09,text,1,ja,classical,forced,1,True,exact,,True,False,False,False
木村 隆,1.0,['projects/PRJ-3304_overview.docx:4. 体制および連絡先'],False,13.37040960000013,1704,67,0.0010144,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-3304_overview.docx::4. 体制および連絡先', 'projects/PRJ-5707_overview.docx::4. 体制および連絡先', 'projects/PRJ-5021_overview.docx::4. 体制および連絡先', 'projects/PRJ-7422_overview.docx::4. 体制および連絡先']",,p0-seed42-ja,42,text-10,text,2,ja,classical,forced,1,True,exact,,True,False,False,False
2027-08-02,0.95,['projects/PRJ-3168_overview.docx:3. 実施スケジュール'],False,13.8090114000006,1738,68,0.0010312,0,[],0,0,1,[],4,claude-sonnet-5,"['projects/PRJ-3168_overview.docx::3. 実施スケジュール', 'projects/PRJ-5289_overview.docx::3. 実施スケジュール', 'projects/PRJ-6148_overview.docx::3. 実施スケジュール', 'projects/PRJ-1630_overview.docx::3. 実施スケジュール']",,p0-seed42-ja,42,text-11,text,2,ja,classical,forced,1,True,exact,,True,False,False,False
