answer,confidence,evidence,abstained,latency_s,input_tokens,output_tokens,cost_usd,tool_calls,files_opened,k,model,retrieved,error,run_id,seed,qid,channel,difficulty,locale,arm,mode,repeat,correct,judged_by,judge_reason,answered,num_turns
木村 隆,0.95,['projects/PRJ-1269_overview.docx:4. 体制および連絡先'],False,11.744730999998865,5540,67,0.012497600000000001,0,[],8,claude-sonnet-5,"['projects/PRJ-1269_overview.docx::4. 体制および連絡先', 'projects/PRJ-2098_overview.docx::4. 体制および連絡先', 'projects/PRJ-5065_overview.docx::4. 体制および連絡先', 'projects/PRJ-1418_overview.docx::4. 体制および連絡先', 'projects/PRJ-5239_overview.docx::4. 体制および連絡先', 'projects/PRJ-9174_overview.docx::4. 体制および連絡先', 'projects/PRJ-5573_overview.docx::4. 体制および連絡先', 'projects/PRJ-7422_overview.docx::4. 体制および連絡先']",,pilot-k8-forced,42,text-01,text,1,ja,classical,forced,0,True,exact,,True,1.0
横浜工場,0.95,['projects/PRJ-1455_overview.docx:2. 作業範囲'],False,12.93754330000229,5621,65,0.0128016,0,[],8,claude-sonnet-5,"['projects/PRJ-1455_overview.docx::案件概要書（案件コード: PRJ-1455）', 'projects/PRJ-1455_overview.docx::1. 案件概要', 'projects/PRJ-1455_overview.docx::2. 作業範囲', 'projects/PRJ-1269_overview.docx::2. 作業範囲', 'projects/PRJ-5004_overview.docx::2. 作業範囲', 'projects/PRJ-2515_overview.docx::2. 作業範囲', 'projects/PRJ-2281_overview.docx::2. 作業範囲', 'projects/PRJ-5065_overview.docx::2. 作業範囲']",,pilot-k8-forced,42,text-02,text,1,ja,classical,forced,0,True,exact,,True,1.0
営業一部,0.95,['projects/PRJ-2978_overview.docx:4. 体制および連絡先'],False,13.00014160000137,5486,66,0.012271599999999999,0,[],8,claude-sonnet-5,"['projects/PRJ-2978_overview.docx::案件概要書（案件コード: PRJ-2978）', 'projects/PRJ-1269_overview.docx::4. 体制および連絡先', 'projects/PRJ-2978_overview.docx::4. 体制および連絡先', 'projects/PRJ-5239_overview.docx::4. 体制および連絡先', 'projects/PRJ-1418_overview.docx::4. 体制および連絡先', 'projects/PRJ-9174_overview.docx::4. 体制および連絡先', 'projects/PRJ-7422_overview.docx::4. 体制および連絡先', 'projects/PRJ-5573_overview.docx::4. 体制および連絡先']",,pilot-k8-forced,42,text-03,text,1,ja,classical,forced,0,True,exact,,True,1.0
斎藤 千尋,0.98,['projects/PRJ-1418_overview.docx:4. 体制および連絡先'],False,13.13457919999928,5540,70,0.0125276,0,[],8,claude-sonnet-5,"['projects/PRJ-1418_overview.docx::4. 体制および連絡先', 'projects/PRJ-5707_overview.docx::4. 体制および連絡先', 'projects/PRJ-5021_overview.docx::4. 体制および連絡先', 'projects/PRJ-1455_overview.docx::4. 体制および連絡先', 'projects/PRJ-6208_overview.docx::4. 体制および連絡先', 'projects/PRJ-7422_overview.docx::4. 体制および連絡先', 'projects/PRJ-1269_overview.docx::4. 体制および連絡先', 'projects/PRJ-5239_overview.docx::4. 体制および連絡先']",,pilot-k8-forced,42,text-04,text,2,ja,classical,forced,0,True,exact,,True,1.0
2027-10-16,0.95,['projects/PRJ-2515_overview.docx:3. 実施スケジュール'],False,13.500275099999271,5560,68,0.012587600000000001,0,[],8,claude-sonnet-5,"['projects/PRJ-2515_overview.docx::3. 実施スケジュール', 'projects/PRJ-2515_overview.docx::案件概要書（案件コード: PRJ-2515）', 'projects/PRJ-5004_overview.docx::3. 実施スケジュール', 'projects/PRJ-1130_overview.docx::3. 実施スケジュール', 'projects/PRJ-2978_overview.docx::3. 実施スケジュール', 'projects/PRJ-5707_overview.docx::3. 実施スケジュール', 'projects/PRJ-6608_overview.docx::3. 実施スケジュール', 'projects/PRJ-2281_overview.docx::3. 実施スケジュール']",,pilot-k8-forced,42,text-05,text,2,ja,classical,forced,0,True,exact,,True,1.0
法務部,0.95,['projects/PRJ-1130_overview.docx:5. 特記事項'],False,13.349295100000745,5505,117,0.0128576,0,[],8,claude-sonnet-5,"['projects/PRJ-1130_overview.docx::4. 体制および連絡先', 'projects/PRJ-1130_overview.docx::5. 特記事項', 'projects/PRJ-1130_overview.docx::案件概要書（案件コード: PRJ-1130）', 'projects/PRJ-2281_overview.docx::4. 体制および連絡先', 'projects/PRJ-1269_overview.docx::4. 体制および連絡先', 'projects/PRJ-6618_overview.docx::4. 体制および連絡先', 'projects/PRJ-3304_overview.docx::5. 特記事項', 'projects/PRJ-2098_overview.docx::5. 特記事項']",,pilot-k8-forced,42,text-06,text,3,ja,classical,forced,0,True,exact,,True,1.0
佐藤 健一,0.98,['projects/PRJ-2012_overview.docx:4. 体制および連絡先'],False,13.133174000002327,5539,69,0.0125136,0,[],8,claude-sonnet-5,"['projects/PRJ-2012_overview.docx::4. 体制および連絡先', 'projects/PRJ-1269_overview.docx::4. 体制および連絡先', 'projects/PRJ-2098_overview.docx::4. 体制および連絡先', 'projects/PRJ-5065_overview.docx::4. 体制および連絡先', 'projects/PRJ-5239_overview.docx::4. 体制および連絡先', 'projects/PRJ-5573_overview.docx::4. 体制および連絡先', 'projects/PRJ-7422_overview.docx::4. 体制および連絡先', 'projects/PRJ-1418_overview.docx::4. 体制および連絡先']",,pilot-k8-forced,42,text-07,text,1,ja,classical,forced,0,True,exact,,True,1.0
大阪支社,0.95,['projects/PRJ-2281_overview.docx:2. 作業範囲'],False,14.128679900000861,5616,65,0.0127816,0,[],8,claude-sonnet-5,"['projects/PRJ-2281_overview.docx::案件概要書（案件コード: PRJ-2281）', 'projects/PRJ-2281_overview.docx::2. 作業範囲', 'projects/PRJ-2281_overview.docx::1. 案件概要', 'projects/PRJ-1269_overview.docx::2. 作業範囲', 'projects/PRJ-5004_overview.docx::2. 作業範囲', 'projects/PRJ-2515_overview.docx::2. 作業範囲', 'projects/PRJ-5065_overview.docx::2. 作業範囲', 'projects/PRJ-2281_overview.docx::3. 実施スケジュール']",,pilot-k8-forced,42,text-08,text,1,ja,classical,forced,0,True,exact,,True,1.0
営業一部,0.95,['projects/PRJ-2098_overview.docx:4. 体制および連絡先'],False,14.796758700002101,5488,66,0.0122796,0,[],8,claude-sonnet-5,"['projects/PRJ-2098_overview.docx::案件概要書（案件コード: PRJ-2098）', 'projects/PRJ-2098_overview.docx::4. 体制および連絡先', 'projects/PRJ-1269_overview.docx::4. 体制および連絡先', 'projects/PRJ-1418_overview.docx::4. 体制および連絡先', 'projects/PRJ-7422_overview.docx::4. 体制および連絡先', 'projects/PRJ-5065_overview.docx::4. 体制および連絡先', 'projects/PRJ-5573_overview.docx::4. 体制および連絡先', 'projects/PRJ-9174_overview.docx::4. 体制および連絡先']",,pilot-k8-forced,42,text-09,text,1,ja,classical,forced,0,True,exact,,True,1.0
佐々木 健,0.95,['projects/PRJ-3304_overview.docx:4. 体制および連絡先'],False,14.545299199999135,5537,68,0.0124956,0,[],8,claude-sonnet-5,"['projects/PRJ-3304_overview.docx::4. 体制および連絡先', 'projects/PRJ-5707_overview.docx::4. 体制および連絡先', 'projects/PRJ-5021_overview.docx::4. 体制および連絡先', 'projects/PRJ-7422_overview.docx::4. 体制および連絡先', 'projects/PRJ-5239_overview.docx::4. 体制および連絡先', 'projects/PRJ-1269_overview.docx::4. 体制および連絡先', 'projects/PRJ-5804_overview.docx::4. 体制および連絡先', 'projects/PRJ-5065_overview.docx::4. 体制および連絡先']",,pilot-k8-forced,42,text-10,text,2,ja,classical,forced,0,True,exact,,True,1.0
