qid,channel,difficulty,k,file_recall,source_chunks_total,source_chunks_in_window,source_coverage,answer_literal,answer_literal_corpus,decoy_literal,top1_path
formula-05,formula,2,16,True,22,3,0.13636363636363635,False,False,False,quotes/QT-1572_quotation.xlsx
formula-05,formula,2,32,True,22,8,0.36363636363636365,False,False,False,quotes/QT-1572_quotation.xlsx
formula-06,formula,3,4,True,3,2,0.6666666666666666,False,False,True,quotes/QT-4752_quotation.xlsx
formula-06,formula,3,8,True,3,2,0.6666666666666666,False,False,True,quotes/QT-4752_quotation.xlsx
formula-06,formula,3,16,True,3,2,0.6666666666666666,False,False,True,quotes/QT-4752_quotation.xlsx
formula-06,formula,3,32,True,3,2,0.6666666666666666,False,False,True,quotes/QT-4752_quotation.xlsx
formula-07,formula,1,4,True,3,2,0.6666666666666666,False,False,False,quotes/QT-3936_quotation.xlsx
formula-07,formula,1,8,True,3,2,0.6666666666666666,False,False,False,quotes/QT-3936_quotation.xlsx
formula-07,formula,1,16,True,3,2,0.6666666666666666,False,False,False,quotes/QT-3936_quotation.xlsx
formula-07,formula,1,32,True,3,2,0.6666666666666666,False,False,False,quotes/QT-3936_quotation.xlsx
formula-08,formula,2,4,True,24,2,0.08333333333333333,False,False,False,quotes/QT-4436_quotation.xlsx
formula-08,formula,2,8,True,24,2,0.08333333333333333,False,False,False,quotes/QT-4436_quotation.xlsx
formula-08,formula,2,16,True,24,3,0.125,False,False,False,quotes/QT-4436_quotation.xlsx
formula-08,formula,2,32,True,24,5,0.20833333333333334,False,False,False,quotes/QT-4436_quotation.xlsx
formula-09,formula,3,4,True,3,2,0.6666666666666666,False,False,True,quotes/QT-3345_quotation.xlsx
formula-09,formula,3,8,True,3,2,0.6666666666666666,False,False,True,quotes/QT-3345_quotation.xlsx
formula-09,formula,3,16,True,3,2,0.6666666666666666,False,False,True,quotes/QT-3345_quotation.xlsx
formula-09,formula,3,32,True,3,2,0.6666666666666666,False,False,True,quotes/QT-3345_quotation.xlsx
formula-10,formula,1,4,True,3,2,0.6666666666666666,False,False,False,quotes/QT-3956_quotation.xlsx
formula-10,formula,1,8,True,3,2,0.6666666666666666,False,False,False,quotes/QT-3956_quotation.xlsx
formula-10,formula,1,16,True,3,2,0.6666666666666666,False,False,False,quotes/QT-3956_quotation.xlsx
formula-10,formula,1,32,True,3,2,0.6666666666666666,False,False,False,quotes/QT-3956_quotation.xlsx
formula-11,formula,2,4,True,20,4,0.2,False,False,False,quotes/QT-3200_quotation.xlsx
formula-11,formula,2,8,True,20,5,0.25,False,False,False,quotes/QT-3200_quotation.xlsx
formula-11,formula,2,16,True,20,6,0.3,False,False,False,quotes/QT-3200_quotation.xlsx
formula-11,formula,2,32,True,20,11,0.55,False,False,False,quotes/QT-3200_quotation.xlsx
formula-12,formula,3,4,True,3,2,0.6666666666666666,False,False,True,quotes/QT-2178_quotation.xlsx
formula-12,formula,3,8,True,3,2,0.6666666666666666,False,False,True,quotes/QT-2178_quotation.xlsx
formula-12,formula,3,16,True,3,2,0.6666666666666666,False,False,True,quotes/QT-2178_quotation.xlsx
formula-12,formula,3,32,True,3,2,0.6666666666666666,False,False,True,quotes/QT-2178_quotation.xlsx
text-01,text,1,4,True,6,3,0.5,True,True,False,projects/PRJ-1269_overview.docx
text-01,text,1,8,True,6,3,0.5,True,True,False,projects/PRJ-1269_overview.docx
text-01,text,1,16,True,6,3,0.5,True,True,False,projects/PRJ-1269_overview.docx
text-01,text,1,32,True,6,3,0.5,True,True,False,projects/PRJ-1269_overview.docx
text-02,text,1,4,True,6,3,0.5,True,True,False,projects/PRJ-1455_overview.docx
text-02,text,1,8,True,6,3,0.5,True,True,False,projects/PRJ-1455_overview.docx
text-02,text,1,16,True,6,3,0.5,True,True,False,projects/PRJ-1455_overview.docx
text-02,text,1,32,True,6,4,0.6666666666666666,True,True,False,projects/PRJ-1455_overview.docx
text-03,text,1,4,True,6,2,0.3333333333333333,True,True,False,projects/PRJ-2978_overview.docx
text-03,text,1,8,True,6,2,0.3333333333333333,True,True,False,projects/PRJ-2978_overview.docx
text-03,text,1,16,True,6,2,0.3333333333333333,True,True,False,projects/PRJ-2978_overview.docx
text-03,text,1,32,True,6,3,0.5,True,True,False,projects/PRJ-2978_overview.docx
text-04,text,2,4,True,6,1,0.16666666666666666,True,True,False,projects/PRJ-1418_overview.docx
text-04,text,2,8,True,6,1,0.16666666666666666,True,True,False,projects/PRJ-1418_overview.docx
text-04,text,2,16,True,6,1,0.16666666666666666,True,True,False,projects/PRJ-1418_overview.docx
text-04,text,2,32,True,6,2,0.3333333333333333,True,True,False,projects/PRJ-1418_overview.docx
text-05,text,2,4,True,6,2,0.3333333333333333,True,True,False,projects/PRJ-2515_overview.docx
text-05,text,2,8,True,6,2,0.3333333333333333,True,True,False,projects/PRJ-2515_overview.docx
text-05,text,2,16,True,6,2,0.3333333333333333,True,True,False,projects/PRJ-2515_overview.docx
text-05,text,2,32,True,6,2,0.3333333333333333,True,True,False,projects/PRJ-2515_overview.docx
text-06,text,3,4,True,6,3,0.5,True,True,False,projects/PRJ-1130_overview.docx
text-06,text,3,8,True,6,3,0.5,True,True,False,projects/PRJ-1130_overview.docx
text-06,text,3,16,True,6,3,0.5,True,True,False,projects/PRJ-1130_overview.docx
text-06,text,3,32,True,6,3,0.5,True,True,False,projects/PRJ-1130_overview.docx
text-07,text,1,4,True,6,3,0.5,True,True,False,projects/PRJ-2012_overview.docx
text-07,text,1,8,True,6,3,0.5,True,True,False,projects/PRJ-2012_overview.docx
text-07,text,1,16,True,6,3,0.5,True,True,False,projects/PRJ-2012_overview.docx
text-07,text,1,32,True,6,3,0.5,True,True,False,projects/PRJ-2012_overview.docx
text-08,text,1,4,True,6,3,0.5,True,True,False,projects/PRJ-2281_overview.docx
text-08,text,1,8,True,6,3,0.5,True,True,False,projects/PRJ-2281_overview.docx
text-08,text,1,16,True,6,4,0.6666666666666666,True,True,False,projects/PRJ-2281_overview.docx
text-08,text,1,32,True,6,4,0.6666666666666666,True,True,False,projects/PRJ-2281_overview.docx
text-09,text,1,4,True,6,2,0.3333333333333333,True,True,False,projects/PRJ-2098_overview.docx
text-09,text,1,8,True,6,2,0.3333333333333333,True,True,False,projects/PRJ-2098_overview.docx
text-09,text,1,16,True,6,2,0.3333333333333333,True,True,False,projects/PRJ-2098_overview.docx
text-09,text,1,32,True,6,3,0.5,True,True,False,projects/PRJ-2098_overview.docx
text-10,text,2,4,True,6,1,0.16666666666666666,True,True,False,projects/PRJ-3304_overview.docx
text-10,text,2,8,True,6,1,0.16666666666666666,True,True,False,projects/PRJ-3304_overview.docx
text-10,text,2,16,True,6,1,0.16666666666666666,True,True,False,projects/PRJ-3304_overview.docx
text-10,text,2,32,True,6,2,0.3333333333333333,True,True,False,projects/PRJ-3304_overview.docx
text-11,text,2,4,True,6,1,0.16666666666666666,True,True,False,projects/PRJ-3168_overview.docx
text-11,text,2,8,True,6,1,0.16666666666666666,True,True,False,projects/PRJ-3168_overview.docx
text-11,text,2,16,True,6,1,0.16666666666666666,True,True,False,projects/PRJ-3168_overview.docx
text-11,text,2,32,True,6,3,0.5,True,True,False,projects/PRJ-3168_overview.docx
text-12,text,3,4,True,6,3,0.5,True,True,False,projects/PRJ-1630_overview.docx
text-12,text,3,8,True,6,3,0.5,True,True,False,projects/PRJ-1630_overview.docx
text-12,text,3,16,True,6,3,0.5,True,True,False,projects/PRJ-1630_overview.docx
text-12,text,3,32,True,6,3,0.5,True,True,False,projects/PRJ-1630_overview.docx
